PModel,Task,OpType,Opt,InsCount,Timer,Time,LNum,AvTime,AbsErr,RelErr,TaskPerf
AMD Ryzen 3600,pow_f64,f64,O3,9,high_resolution_clock,7.895e-08,26,7.42544e-08,4.69563e-09,0.063237,1.26662e+07
AMD Ryzen 3600,pow_f64,f64,O3,9,high_resolution_clock,7.922e-08,27,7.42544e-08,4.96562e-09,0.0668732,1.26231e+07
AMD Ryzen 3600,pow_f64,f64,O3,9,high_resolution_clock,7.993e-08,28,7.42544e-08,5.67563e-09,0.0764349,1.25109e+07
AMD Ryzen 3600,pow_f64,f64,O3,9,high_resolution_clock,7.899e-08,29,7.42544e-08,4.73562e-09,0.0637757,1.26598e+07
AMD Ryzen 3600,pow_f64,f64,O3,9,high_resolution_clock,8.282e-08,30,7.42544e-08,8.56563e-09,0.115355,1.20744e+07
AMD Ryzen 3600,pow_f64,f64,O3,9,high_resolution_clock,7.898e-08,31,7.42544e-08,4.72563e-09,0.063641,1.26614e+07
AMD Ryzen 3600,sin_f32,f32,O3,12,high_resolution_clock,4.126e-08,0,3.81944e-08,3.06563e-09,0.0802638,2.42365e+07
AMD Ryzen 3600,sin_f32,f32,O3,12,high_resolution_clock,4.097e-08,1,3.81944e-08,2.77563e-09,0.072671,2.44081e+07
AMD Ryzen 3600,sin_f32,f32,O3,12,high_resolution_clock,4e-08,2,3.81944e-08,1.80563e-09,0.0472746,2.5e+07
AMD Ryzen 3600,sin_f32,f32,O3,12,high_resolution_clock,4.06e-08,3,3.81944e-08,2.40563e-09,0.0629838,2.46305e+07
AMD Ryzen 3600,sin_f32,f32,O3,12,high_resolution_clock,4.06e-08,4,3.81944e-08,2.40563e-09,0.0629838,2.46305e+07
AMD Ryzen 3600,sin_f32,f32,O3,12,high_resolution_clock,4.103e-08,5,3.81944e-08,2.83563e-09,0.074242,2.43724e+07
AMD Ryzen 3600,sin_f32,f32,O3,12,high_resolution_clock,4.077e-08,6,3.81944e-08,2.57563e-09,0.0674347,2.45278e+07
AMD Ryzen 3600,sin_f32,f32,O3,12,high_resolution_clock,4.067e-08,7,3.81944e-08,2.47563e-09,0.0648165,2.45881e+07
AMD Ryzen 3600,sin_f32,f32,O3,12,high_resolution_clock,4.11e-08,8,3.81944e-08,2.90563e-09,0.0760747,2.43309e+07
AMD Ryzen 3600,sin_f32,f32,O3,12,high_resolution_clock,4.138e-08,9,3.81944e-08,3.18563e-09,0.0834056,2.41663e+07
AMD Ryzen 3600,sin_f32,f32,O3,12,high_resolution_clock,3.714e-08,10,3.81944e-08,1.05437e-09,0.0276055,2.69251e+07
AMD Ryzen 3600,sin_f32,f32,O3,12,high_resolution_clock,4.085e-08,11,3.81944e-08,2.65563e-09,0.0695292,2.44798e+07
AMD Ryzen 3600,sin_f32,f32,O3,12,high_resolution_clock,4.307e-08,12,3.81944e-08,4.87563e-09,0.127653,2.3218e+07
AMD Ryzen 3600,sin_f32,f32,O3,12,high_resolution_clock,3.936e-08,13,3.81944e-08,1.16563e-09,0.0305182,2.54065e+07
AMD Ryzen 3600,sin_f32,f32,O3,12,high_resolution_clock,4.157e-08,14,3.81944e-08,3.37563e-09,0.0883802,2.40558e+07
AMD Ryzen 3600,sin_f32,f32,O3,12,high_resolution_clock,2.309e-08,15,3.81944e-08,1.51044e-08,0.395461,4.33088e+07
AMD Ryzen 3600,sin_f32,f32,O3,12,high_resolution_clock,3.935e-08,16,3.81944e-08,1.15563e-09,0.0302564,2.5413e+07
AMD Ryzen 3600,sin_f32,f32,O3,12,high_resolution_clock,4.019e-08,17,3.81944e-08,1.99563e-09,0.0522492,2.48818e+07
AMD Ryzen 3600,sin_f32,f32,O3,12,high_resolution_clock,3.957e-08,18,3.81944e-08,1.37563e-09,0.0360164,2.52717e+07
AMD Ryzen 3600,sin_f32,f32,O3,12,high_resolution_clock,3.983e-08,19,3.81944e-08,1.63563e-09,0.0428237,2.51067e+07
AMD Ryzen 3600,sin_f32,f32,O3,12,high_resolution_clock,2.306e-08,20,3.81944e-08,1.51344e-08,0.396246,4.33651e+07
AMD Ryzen 3600,sin_f32,f32,O3,12,high_resolution_clock,4.006e-08,21,3.81944e-08,1.86563e-09,0.0488455,2.49626e+07
AMD Ryzen 3600,sin_f32,f32,O3,12,high_resolution_clock,2.3e-08,22,3.81944e-08,1.51944e-08,0.397817,4.34783e+07
AMD Ryzen 3600,sin_f32,f32,O3,12,high_resolution_clock,2.323e-08,23,3.81944e-08,1.49644e-08,0.391795,4.30478e+07
